"","TR:mock:CellLine","TR:TLR7","TR:TLR9","DA:pAkt","DA:pCREB","DA:pERK1/2","DA:pMAPKAPK2","DA:pS6","DA:pSHP2","DA:pStat1","DA:pStat3","DA:pStat4","DA:pNF-kB_p65","DV:pAkt","DV:pCREB","DV:pERK1/2","DV:pMAPKAPK2","DV:pS6","DV:pSHP2","DV:pStat1","DV:pStat3","DV:pStat4","DV:pNF-kB_p65"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1
"5",1,1,0,10,10,10,10,10,10,10,10,10,10,0.376549774482105,0.5,0.467537114302349,0.350401394234213,0.286678278185879,0.376944630191073,0.343413155236874,0.336704621532004,0.406446601222968,0.261965831328305
"6",1,0,1,10,10,10,10,10,10,10,10,10,10,0.456583021529161,0.383061982854287,0.5,0.364198100159082,0.394449692174061,0.495538820246181,0.484160547538933,0.349255409869166,0.481335415956486,0.261965831328305
"8",1,1,0,20,20,20,20,20,20,20,20,20,20,0.453027597009925,0.523349799449437,0.494196601254948,0.450253834405444,0.372443236439462,0.415430039473565,0.413215663522223,0.441941419279626,0.426961634227464,0.449251758313915
"9",1,0,1,20,20,20,20,20,20,20,20,20,20,0.541234146094202,0.378825232231541,0.41525710110306,0.410891508777657,0.5,0.5,0.520223135872166,0.5,0.5,0.318409775093024
"11",1,1,0,30,30,30,30,30,30,30,30,30,30,0.5,0.601001861595236,0.626862754388341,0.529216214203658,0.497692834210324,0.505358381539251,0.495274017446774,0.582416237829562,0.50618215015232,0.657869460339059
"12",1,0,1,30,30,30,30,30,30,30,30,30,30,0.482316503961415,0,0.445173915309036,0.172857897505112,0.521374168348184,0.489300255744252,0.490525878519616,0.44988855102417,0.49876114375196,0.401964345238377
"14",1,1,0,45,45,45,45,45,45,45,45,45,45,0.457471702074481,0.686635189256756,0.633258389815288,0.54269589312951,0.551873183927753,0.522354941462256,0.5,0.403968223606777,0.472567736226421,0.817268350175144
"15",1,0,1,45,45,45,45,45,45,45,45,45,45,0.65109246189786,0.106370798367896,0.349697465544552,0.5,0.62398492303166,0.491081808803922,0.584604321371919,0.830686370938128,0.520933993037667,0.5
"17",1,1,0,60,60,60,60,60,60,60,60,60,60,0.580103396616929,0.590478051704524,0.507709035960952,0.561327415193792,0.685639693979071,0.564463654190248,0.534990492737418,0.62136584795387,0.50618215015232,0.799557420167759
"18",1,0,1,60,60,60,60,60,60,60,60,60,60,0.521121840956203,0.520328643607086,0.535677034147573,0.559629741528364,0.721824835869451,0.625830731950497,0.58888688988653,0.582416237829562,0.519709409719948,0.790540099661512
