TR:mock:CellLine,TR:TLR7,TR:TLR9,DA:pAkt,DA:pCREB,DA:pERK1/2,DA:pMAPKAPK2,DA:pS6,DA:pSHP2,DA:pStat1,DA:pStat3,DA:pStat4,DA:pNF-kB_p65,DA:pp38,DV:pAkt,DV:pCREB,DV:pERK1/2,DV:pMAPKAPK2,DV:pS6,DV:pSHP2,DV:pStat1,DV:pStat3,DV:pStat4,DV:pNF-kB_p65,DV:pp38
1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4,2892,102,279,930,43.4,27.6,7.58,5.29,203,47.8
1,1,0,0,0,0,0,0,0,0,0,0,0,0,33.4,2892,102,279,930,43.4,27.6,7.58,5.29,203,47.8
1,0,1,0,0,0,0,0,0,0,0,0,0,0,33.4,2892,102,279,930,43.4,27.6,7.58,5.29,203,47.8
1,0,0,10,10,10,10,10,10,10,10,10,10,10,33.4,2892,102,279,930,43.4,27.6,7.58,5.29,203,47.8
1,1,0,10,10,10,10,10,10,10,10,10,10,10,30.3,3101,69.7,287,695,55.6,25.3,8.26,4.95,199,52.5
1,0,1,10,10,10,10,10,10,10,10,10,10,10,24.9,2784,57.1,255,658,36.3,24.2,5.7,4.3,174,52.2
1,0,0,60,60,60,60,60,60,60,60,60,60,60,33.4,2892,102,279,930,43.4,27.6,7.58,5.29,203,47.8
1,1,0,60,60,60,60,60,60,60,60,60,60,60,24.5,3464,59,293,772,47.2,29.6,6.09,5.4,207,53.7
1,0,1,60,60,60,60,60,60,60,60,60,60,60,23.7,3011,45,278,915,20.9,27.4,5.19,5.17,186,54.7
1,0,0,120,120,120,120,120,120,120,120,120,120,120,33.4,2892,102,279,930,43.4,27.6,7.58,5.29,203,47.8
1,1,0,120,120,120,120,120,120,120,120,120,120,120,21.7,2868,44.2,270,495,22.4,25.6,5.28,4.62,199,46.1
1,0,1,120,120,120,120,120,120,120,120,120,120,120,20.4,2534,45.9,244,710,26.2,27.4,5.28,4.73,178,46.8
